product_id,product_name,brand,category,unit_size,unit_type
P0318,VIS ALLOY KADAI [3-12],VIS,Kitchenware,,
P0319,VIS ALLOY TAWA,VIS,Kitchenware,,
P0320,VIS ANODIZED HANDY,VIS,Kitchenware,,
P0321,VIS ANODIZED HUNDY 18 WITH LID - 20 PCS,VIS,Kitchenware,,
P0322,VIS ANODIZED HUNDY 20 WITH LID - 10 PCS,VIS,Kitchenware,,
P0323,VIS ANODIZED IDLY POT-6,VIS,Kitchenware,,
P0324,VIS ANODIZED KADAI,VIS,Kitchenware,,
P0325,VIS ANODIZED KADAI 7 TO 18 - 6 SET,VIS,Kitchenware,,
P0326,VIS ANODIZED URULI,VIS,Kitchenware,,
P0327,VIS ANODIZED URULI WITH LID 1-6 - 6 SET,VIS,Kitchenware,,
P0328,VIS BRASS SEV SANCHA [RING] 500 GM,VIS,Kitchenware,500.0,G
P0329,VIS D/C APPACHATTY 4 MM W/L,VIS,Kitchenware,4.0,MM
P0330,VIS D/C INDUCTION PANIYARAM 50 MM 7 PITS,VIS,Kitchenware,50.0,MM
P0331,VIS D/C INDUCTION PANIYARAM 50MM 7 PITS,VIS,Kitchenware,50.0,MM
P0332,VIS D/C INDUCTION PANIYARAM 50MM 9 PITS,VIS,Kitchenware,50.0,MM
P0333,VIS D/C N/S MINI TOASTER,VIS,Appliances,,
P0334,VIS D/C PANIYARAM 50MM 9 PITS[W/L],VIS,Kitchenware,50.0,MM
P0335,VIS D/C PANIYARAM 60MM 7 PITS W/L,VIS,Kitchenware,60.0,MM
P0336,VIS D/C PANIYARAM 60MM 7 PITS[W/L],VIS,Kitchenware,60.0,MM
P0337,VIS D/C PANIYARAM 60MM 9 PITS W/L,VIS,Kitchenware,60.0,MM
P0338,VIS D/C SUNNY PANIYARAM 50 MM 07 PITS,VIS,Kitchenware,50.0,MM
P0339,VIS D/C SUNNY PANIYARAM 50 MM 09 PITS,VIS,Kitchenware,50.0,MM
P0340,VIS D/C SUNNY PANIYARAM 50 MM 12 PITS,VIS,Kitchenware,50.0,MM
P0341,VIS D/C SUNNY PANIYARAM 50 MM 7 PITS,VIS,Kitchenware,50.0,MM
P0342,VIS D/C SUNNY PANIYARAM 50 MM 9 PITS,VIS,Kitchenware,50.0,MM
P0343,VIS ECO PLUS COPPER MIXI 3 JAR [550 W],VIS,Appliances,,
P0344,VIS ECO PLUS COPPER MIXIE 3 JAR [550 W],VIS,Appliances,,
P0345,VIS ECO PLUS HYBRID MIXI 3 JAR [550 W],VIS,Appliances,,
P0346,VIS ECO PLUS HYBRID MIXIE 3 JAR [550 W],VIS,Appliances,,
P0443,Vis Elite Milk Boiler 1 Ltr,VIS,Appliances,1.0,L
P0444,Vis Elite Milk Boiler 1.5 Ltr,VIS,Appliances,1.5,L
P0445,Vis Elite Milk Boiler 2 Ltr,VIS,Appliances,2.0,L
P0349,VIS ELITE PUTTUKUDAM [3 LEAF],VIS,Kitchenware,,
P0351,VIS EMERY TAWA,VIS,Kitchenware,,
P0352,VIS EMERY TAWA 11 INCH [750 GRM],VIS,Kitchenware,,
P0353,VIS EMERY TAWA 12 INCH [850 GRM],VIS,Kitchenware,,
P0350,VIS ELITE PUTTUKUDAM [5 LEAF],VIS,Kitchenware,,
P0355,VIS I CLASS COOKER 03 LTR.,VIS,Kitchenware,3.0,L
P0356,VIS I CLASS COOKER 05 LTR.,VIS,Kitchenware,5.0,L
P0357,VIS I CLASS GRAVY POT 3 LTR.,VIS,Kitchenware,3.0,L
P0358,VIS I CLASS GRAVY POT 4 LTR.,VIS,Kitchenware,4.0,L
P0359,VIS I CLASS INDUCTION KADAI 250,VIS,Kitchenware,,
P0360,VIS I CLASS INDUCTION KADAI 275,VIS,Kitchenware,,
P0361,VIS I CLASS INDUCTION PAPER ROAST TAWA 315 / 4 MM,VIS,Kitchenware,4.0,MM
P0362,VIS I CLASS KAL DOSAI TAWA 295/5 MM,VIS,Kitchenware,5.0,MM
P0363,VIS I CLASS KAL DOSAI TAWA 315/5 MM,VIS,Kitchenware,5.0,MM
P0347,VIS ELITE PUTTUKUDAM BIG,VIS,Kitchenware,,
P0446,Vis Elite Puttukudam Big,VIS,Kitchenware,,
P0348,VIS ELITE PUTTUKUDAM SMALL,VIS,Kitchenware,,
P0367,VIS I CLASS ROTTI TAWA 310 / 4 MM,VIS,Kitchenware,4.0,MM
P0368,VIS I CLASS ROTTI TAWA 310/4 MM,VIS,Kitchenware,4.0,MM
P0369,VIS IDLY KUZHI PANIYARAM 9 PITS,VIS,Kitchenware,,
P0370,VIS IDLY PANIYARAM 7 PITS,VIS,Kitchenware,,
P0371,VIS INDUCTION KADAI 235 MM [W/L],VIS,Kitchenware,235.0,MM
P0372,VIS INDUCTION POLISH KADAI - 6 SET,VIS,Kitchenware,,
P0373,VIS INDUCTION TAWA 285 MM / 3.4 MM,VIS,Kitchenware,285.0,MM
P0374,VIS IRON TAWA 11 INCH [2.200],VIS,Kitchenware,,
P0375,VIS IRON TAWA 12 INCH [2.300],VIS,Kitchenware,,
P0376,VIS KUZHI APPACHATTY,VIS,Kitchenware,,
P0447,Vis Elite Puttukudam Small,VIS,Kitchenware,,
P0354,VIS I CLASS COMBO 5 LTR,VIS,Kitchenware,5.0,L
P0379,VIS NON STICK ACHU MURUKKU [FLOWER],VIS,Kitchenware,,
P0380,VIS NON STICK ACHU MURUKKU [ROUND],VIS,Kitchenware,,
P0381,VIS POLISH INDUCTION KADAI,VIS,Kitchenware,,
P0364,VIS I CLASS MIXI 3 JAR [750 W],VIS,Appliances,,
P0365,VIS I CLASS MIXI 4 JAR [750 W],VIS,Appliances,,
P0366,VIS I CLASS MIXI 4 JAR [750] COPPER,VIS,Appliances,,
P0466,Vis Mixi Eco+ 550 W Copper,VIS,Appliances,,
P0377,VIS MURUKACHI 5 NO.,VIS,Kitchenware,,
P0378,VIS MURUKACHI 6 NO.,VIS,Kitchenware,,
P0467,Vis Muruku Achu No.5,VIS,Kitchenware,,
P0468,Vis Muruku Achu No.6,VIS,Kitchenware,,
P0469,Vis Non Stick Sausepan 1.5 Ltr/3mm,VIS,Kitchenware,1.5,L
P0382,VIS POORI PRESS 4 NO,VIS,Kitchenware,,
P0392,VIS PRO DELUXE APPACHATTY,VIS,Kitchenware,,
P0393,VIS PRO DIE CAST 7 K IDLY PANIYARAM,VIS,Kitchenware,,
P0394,VIS PRO DIE CAST 9 K IDLY PANIYARAM,VIS,Kitchenware,,
P0395,VIS PRO FH TAWA 300/5 MM,VIS,Kitchenware,5.0,MM
P0396,VIS PRO INDUCTION TAWA 285 /4.00 MM,VIS,Kitchenware,4.0,MM
P0397,VIS PRO INDUCTION TAWA 285 /5.00 MM,VIS,Kitchenware,5.0,MM
P0398,VIS PRO INDUCTION TAWA 285 MM 4.0 MM,VIS,Kitchenware,285.0,MM
P0399,VIS PRO INDUCTION TAWA 285/5.00 MM,VIS,Kitchenware,5.0,MM
P0400,VIS PRO INDUCTION TAWA 300 /5.00 MM,VIS,Kitchenware,5.0,MM
P0401,VIS PRO INDUCTION TAWA 300/5.00 MM,VIS,Kitchenware,5.0,MM
P0383,VIS POORI PRESS 5 NO,VIS,Kitchenware,,
P0384,VIS POORI PRESS 6 NO,VIS,Kitchenware,,
P0385,VIS POORI PRESS 7 NO,VIS,Kitchenware,,
P0405,VIS PRO SUNNY APPACHATTY,VIS,Kitchenware,,
P0406,VIS PRO SUNNY DEEP APPACHATTY,VIS,Kitchenware,,
P0407,VIS PRO SUNNY MEGA APPACHATTY,VIS,Kitchenware,,
P0386,VIS POORI PRESS 8 NO,VIS,Kitchenware,,
P0387,VIS POORI PRESS SS 4 NO.,VIS,Kitchenware,,
P0388,VIS POORI PRESS SS 5 NO.,VIS,Kitchenware,,
P0389,VIS POORI PRESS SS 6 NO.,VIS,Kitchenware,,
P0390,VIS POORI PRESS SS 7 NO.,VIS,Kitchenware,,
P0391,VIS POORI PRESS SS 8 NO.,VIS,Kitchenware,,
P0471,Vis Poori Press SS No.5,VIS,Kitchenware,,
P0472,Vis Poori Press SS No.6,VIS,Kitchenware,,
P0473,Vis Poori Press SS No.7,VIS,Kitchenware,,
P0474,Vis Poori Press SS No.8,VIS,Kitchenware,,
P0418,VIS SS SEV SANCHA DAB [700 GM],VIS,Kitchenware,700.0,G
P0402,VIS PRO PANIYARAKUZHI 07K,VIS,Kitchenware,,
P0403,VIS PRO PANIYARAKUZHI 09K,VIS,Kitchenware,,
P0404,VIS PRO PANIYARAKUZHI 12K,VIS,Kitchenware,,
P0476,Vis Pro Paniyarakuzhi 12k Red,VIS,Kitchenware,,
P0477,Vis Pro Paniyarakuzhi 7k Red,VIS,Kitchenware,,
P0478,Vis Pro Paniyarakuzhi 9k Red,VIS,Kitchenware,,
P0408,VIS SS COCONUT SCRAPPER,VIS,Kitchenware,,
P0409,VIS SS IDI URAL 0,VIS,Kitchenware,,
P0410,VIS SS IDI URAL 1,VIS,Kitchenware,,
P0428,VIS VISTA MIXIE 3 JAR 750 WATS,VIS,Appliances,,
P0411,VIS SS IDI URAL 2,VIS,Kitchenware,,
P0430,"VIS WHITE TEA KETTLE 1,2,3 NO. - 10 SET",VIS,Appliances,,
P0431,VIS WHITE TEA KETTLE WIRE [0 NO.],VIS,Appliances,,
P0432,VIS WHITE TEA KETTLE [2 TO 6],VIS,Appliances,,
P0433,VIS WHITE TEA MUG,VIS,Beverages,,
P0412,VIS SS IDI URAL 3,VIS,Kitchenware,,
P0413,VIS SS IDI URAL 4,VIS,Kitchenware,,
P0436,VPC IC-09 I-Class Combo Cooker (5+3.5 Ltr),,Kitchenware,3.5,L
P0437,Vis Alloy Kadai,VIS,Kitchenware,,
P0438,Vis D/c Appachatty 4mm,VIS,Kitchenware,4.0,MM
P0439,Vis D/c Induction Paniyaram 7k/50mm,VIS,Kitchenware,50.0,MM
P0440,Vis D/c Paniyaram 7k/60mm with Lid,VIS,Kitchenware,60.0,MM
P0441,Vis D/c Paniyaram 9k/50mm with Lid,VIS,Kitchenware,50.0,MM
P0442,Vis Deluxe Appachatty with Lid,VIS,Kitchenware,,
P0414,VIS SS IDI URAL 5,VIS,Kitchenware,,
P0415,VIS SS IDI URAL 6,VIS,Kitchenware,,
P0416,VIS SS IDI URAL 7,VIS,Kitchenware,,
P0417,VIS SS KITCHEN PRESS,VIS,Kitchenware,,
P0419,VIS SS SMART SEVANAZHI,VIS,Kitchenware,,
P0448,Vis FH Tawa 285mm/3.4mm,VIS,Kitchenware,285.0,MM
P0449,Vis FH Tawa 300mm/3.4mm,VIS,Kitchenware,300.0,MM
P0450,Vis I Class Cooker 10 Lit,VIS,Kitchenware,10.0,L
P0451,Vis I Class Cooker 12 Lit,VIS,Kitchenware,12.0,L
P0452,Vis I Class Cooker 3 Ltr,VIS,Kitchenware,3.0,L
P0453,Vis I Class Cooker 5 Ltr,VIS,Kitchenware,5.0,L
P0454,Vis I Class Gravy Pot 5.5 Ltr,VIS,Kitchenware,5.5,L
P0455,Vis I Class Gravy Pot 7.5 Ltr,VIS,Kitchenware,7.5,L
P0456,Vis I Class Induction Gravy Pot 3 Ltr,VIS,Kitchenware,3.0,L
P0457,Vis I Class Induction Kadai 230mm,VIS,Kitchenware,230.0,MM
P0458,Vis I Class Induction Kadai 275mm,VIS,Kitchenware,275.0,MM
P0459,Vis I Class Kal Dosai Tawa 315/5mm,VIS,Kitchenware,5.0,MM
P0460,Vis I-Class Induction Gravy Pot 4 Ltr,VIS,Kitchenware,4.0,L
P0461,Vis I-Class Induction Paper Roast Tawa 315/4 mm,VIS,Kitchenware,4.0,MM
P0462,Vis Idly Kuzhi Paniyaram 7k,VIS,Kitchenware,,
P0463,Vis Idly Kuzhi Paniyaram 9k,VIS,Kitchenware,,
P0464,Vis Induction Tawa 285mm/3.4mm,VIS,Kitchenware,285.0,MM
P0465,Vis Induction Tawa 300mm/3.4mm,VIS,Kitchenware,300.0,MM
P0420,VIS SS URAL NO.0,VIS,Kitchenware,,
P0421,VIS SS URAL NO.1,VIS,Kitchenware,,
P0422,VIS SS URAL NO.2,VIS,Kitchenware,,
P0423,VIS SS URAL NO.3,VIS,Kitchenware,,
P0470,Vis Polish Induction Kadai,VIS,Kitchenware,,
P0424,VIS SS URAL NO.4,VIS,Kitchenware,,
P0425,VIS SS URAL NO.5,VIS,Kitchenware,,
P0426,VIS SS URAL NO.6,VIS,Kitchenware,,
P0427,VIS SS URAL NO.7,VIS,Kitchenware,,
P0475,Vis Pro FH Tawa 300/5mm,VIS,Kitchenware,5.0,MM
P0483,Vis Sunny Panniyakuzhi 9K/50mm,VIS,Kitchenware,50.0,MM
P0429,VIS WHITE MUG,VIS,Kitchenware,,
P0488,Vis. I Class Mixi 750w / 3 Jar,VIS,Kitchenware,,
P0479,Vis Sunny Appachatty with Lid Pro,VIS,Kitchenware,,
P0480,Vis Sunny Deep Appachatty with Lid,VIS,Kitchenware,,
P0481,Vis Sunny Paniyaram 12k,VIS,Kitchenware,,
P0482,Vis Sunny Paniyaram 7k/50mm,VIS,Kitchenware,50.0,MM
P0489,Vis. Idi Ural Size - 1,VIS,Kitchenware,,
P0484,Vis V Smart Induction Cooker 5 Ltr,VIS,Kitchenware,5.0,L
P0485,Vis. Bottu Kadai,VIS,Kitchenware,,
P0486,Vis. Eco + 550w Mixie Hybrid,VIS,Appliances,,
P0487,Vis. Emery Kadai,VIS,Kitchenware,,
P0490,Vis. Idi Ural Size - 2,VIS,Kitchenware,,
P0491,Vis. Idi Ural Size - 3,VIS,Kitchenware,,
P0492,Vis. Idi Ural Size - 4,VIS,Kitchenware,,
P0493,Vis. Idi Ural Size - 5,VIS,Kitchenware,,
P0494,Vis. Idi Ural Size - 6,VIS,Kitchenware,,
P0495,Vis. Pro Paniyarakuzhi 19k Red,VIS,Kitchenware,,
P0496,Vis. SS Kitchen Press,VIS,Kitchenware,,
P0497,Vis. SS Smart Sevanazhi,VIS,Kitchenware,,
P0434,VISALAM MULTI PUTTU KUDAM [3],,Kitchenware,,
P0435,VISALAM MULTI PUTTU KUDAM [5],,Kitchenware,,
P0498,Vis. V.Smart Mixie 750w 4-Jar,VIS,Appliances,,
P0499,Vis. Vista Mixie 750w 3 Jar,VIS,Appliances,,
P0500,Vis. Vsmart Induction Cooker 7.5 Ltr,VIS,Kitchenware,7.5,L
P0501,Wet Grinder 2 Ltr [name struck through on invoice],,Appliances,2.0,L
